"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity idinfo","File does not exist","COMPROMISED","2020-11-23T11:56:27.188-05:00","0.0","0.16"
"First serenity test","File does not exist","COMPROMISED","2020-11-23T11:56:31.426-05:00","0.0","0.25"
"Serenity idinfo","Get all students","SUCCESS","2020-11-23T11:56:27.531-05:00","0.0","0.27"
"First serenity test","Get all students","SUCCESS","2020-11-23T11:56:31.862-05:00","0.0","0.18"
"Serenity idinfo","This is a failing test","FAILURE","2020-11-23T11:56:20.920-05:00","0.0","5.19"
"First serenity test","This is a failing test","FAILURE","2020-11-23T11:56:30.731-05:00","0.0","0.31"
"Serenity idinfo","This is pending test","PENDING","2020-11-23T11:56:26.530-05:00","0.0","0.2"
"First serenity test","This is pending test","PENDING","2020-11-23T11:56:31.047-05:00","0.0","0.2"
"Serenity idinfo","This is skipped test","IGNORED","2020-11-23T11:56:27.798-05:00","0.0","0.14"
"First serenity test","This is skipped test","IGNORED","2020-11-23T11:56:32.045-05:00","0.0","0.16"
"Serenity idinfo","This is test with error","ERROR","2020-11-23T11:56:27.348-05:00","0.0","0.18"
"First serenity test","This is test with error","ERROR","2020-11-23T11:56:31.679-05:00","0.0","0.18"
"Serenity idinfo","This test should be execute manually","PENDING","2020-11-23T11:56:26.995-05:00","0.0","0.19"
"First serenity test","This test should be execute manually","PENDING","2020-11-23T11:56:31.245-05:00","0.0","0.18"
"Serenity idinfo","This test will get the information of all the students from the Student App","SUCCESS","2020-11-23T11:56:26.736-05:00","0.0","0.26"
